name,address,city,state,zip,phone,email,website,denomination,lead_pastor,other_staff,attendance_min,attendance_max,engagement_status,notes
Trinity E.C. Church (Womelsdorf),101 N Front St,Womelsdorf,PA,19567,(610) 589-5704,,,Evangelical Congregational,,,,,not_contacted,
Bausman Memorial United Church of Christ (Womelsdorf),1863 Bethany Rd,Womelsdorf,PA,19567,(610) 589-4501,,,United Church of Christ,,,,,not_contacted,
New Hope and Freedom Ministries,525 W High St,Womelsdorf,PA,19567,,,,,Non-denominational / Independent,,,,,not_contacted,
Epler's Church United Church of Christ,1151 W Leesport Rd,Leesport,PA,19533,(610) 926-1006,,,United Church of Christ,,,,,not_contacted,
Trinity United Church of Christ (Leesport),17 N Centre Ave,Leesport,PA,19533,(610) 926-0688,,,United Church of Christ,,,,,not_contacted,
St. John's Gernant's Church,12 Gernants Church Rd,Leesport,PA,19533,(610) 926-2651,,,United Church of Christ,,,,,not_contacted,
LCBC Church (Leesport),130 Redners Way,Leesport,PA,19533,(484) 671-3217,,,Non-denominational,,,,,not_contacted,Lives Changed By Christ
Bern Evangelical Lutheran Church,820 W Leesport Rd,Leesport,PA,19533,(610) 374-4343,,bernchurch.org,Lutheran (ELCA),,,,,not_contacted,
Bern Reformed United Church of Christ,3196 Bernville Rd,Leesport,PA,19533,(610) 926-1161,,bernreformeducc.org,United Church of Christ,,,,,not_contacted,
Lutheran Church of the Holy Trinity (Leesport),102 Apple St,Leesport,PA,19533,,,,,Lutheran,,,,,not_contacted,
Bethany Evangelical Congregation Church (Leesport),308 Main St,Leesport,PA,19533,,,,,Evangelical Congregational,,,,,not_contacted,
Trinity Evangelical Lutheran Church (Bechtelsville),1749 South Main St,Bechtelsville,PA,19505,(610) 369-1281,,trinitybech.com,Lutheran,,,,,not_contacted,
Morning Star Fellowship,100 Limekiln Rd,Bechtelsville,PA,19505,(610) 369-1960,,,Assemblies of God,,,,,not_contacted,
Shepherd of the Hills Church,527 Hoffmansville Rd,Bechtelsville,PA,19505,(610) 754-6446,,,Non-denominational,,,,,not_contacted,
St. Andrew United Methodist Church (Bechtelsville),611 Swamp Creek Rd,Bechtelsville,PA,19505,(610) 367-7043,,saintandrewumc.org,United Methodist,John Cordes,,,, not_contacted,
Christ Mertz Lutheran Church,16 Fleetwood Rd,Fleetwood,PA,19522,,,christmertz.org,Lutheran (ELCA),Rev. Cheryl F. Meinschein,,,,,not_contacted,
Renewed Spirit Church,449 N 9th St,Reading,PA,19601,,,renewedspiritchurch.org,Lutheran (ELCA),"Sonja Ware (Co-Pastor)","Rob Argot (Co-Pastor)",,,not_contacted,Formed 2022 from merger of Grace / Holy Spirit / St. John's / St. Luke's Lutheran
Trinity Lutheran Church (Robesonia),108 S Robeson St,Robesonia,PA,19551,(610) 693-6062,,trinityrobesonia.org,Lutheran (ELCA),,,,,not_contacted,
Alsace Lutheran Church,2201 Kutztown Rd,Reading,PA,19605,(610) 929-8727,,alsacelutheranchurch.com,Lutheran (AFLC),Rev. Alexander Grimes,,,, not_contacted,Founded 1732; Association of Free Lutheran Congregations (not ELCA)
Holy Spirit Lutheran Church,421 Windsor St,Reading,PA,19601,(610) 376-0825,,holyspiritreading.org,Lutheran,,,,,not_contacted,
Peace Lutheran Church,1728 Centre Ave,Reading,PA,19601,(610) 374-7911,,,Lutheran,,,,,not_contacted,
St. Margaret Roman Catholic Church,925 Centre Ave,Reading,PA,19601,(610) 376-2919,,stmargaretsreading.org,Roman Catholic,,,,,not_contacted,
St. Ignatius Loyola Catholic Church,2600 St Albans Dr,Reading,PA,19608,(610) 678-3767,rectory@stignatiusreading.org,stignatiusreading.org,Roman Catholic,,,,,not_contacted,
St. Peter the Apostle Roman Catholic Church,322 S 5th St,Reading,PA,19602,(610) 372-9652,stpeterchurch@comcast.net,stpeterchurchreading.org,Roman Catholic,,,,,not_contacted,
Berks Bible Church,29 E Lancaster Ave,Shillington,PA,19607,(610) 777-4549,,berksbible.org,Baptist (SBC),,,,,not_contacted,
First Baptist Church of Birdsboro,216 N Mill St,Birdsboro,PA,19508,(610) 582-2554,,,Baptist,Rev. James C. Kennedy Jr.,,,, not_contacted,
Lincoln Park Community United Methodist Church,4 Cambridge Ave,Reading,PA,19609,(610) 777-1422,,lpcumc.org,United Methodist,Quentin Wallace,,,, not_contacted,
Grace United Methodist Church,1112 Union St,Reading,PA,19604,(610) 376-3755,,,United Methodist,,,,,not_contacted,
Hebron United Methodist Church,Berks County,PA,,,,hebronum.com,United Methodist,,,,,not_contacted,
Pennside Presbyterian Church,253 N 25th St,Reading,PA,19606,(610) 779-2929,,pennsidepresby.org,Presbyterian (PCUSA),Rev. David Duquette,,,, not_contacted,
Christ Presbyterian Church,824 Washington St,Reading,PA,19601,(610) 376-0390,,christpresreading.org,Presbyterian,,,,,not_contacted,
St. Andrew's United Church of Christ,Reading,PA,,,,,standrews-ucc.org,United Church of Christ,,,,,not_contacted,
One United Church of Christ,Kenhorst,PA,,,,,oneucc.org,United Church of Christ,,,,,not_contacted,
Lorane Bible Chapel,900 Neversink St,Reading,PA,19606,(610) 404-0333,,,Non-denominational,Rev. Daniel D. Davis,,,, not_contacted,
Today's Church,3208 Kutztown Rd,Reading,PA,19605,,,todayschurch.net,Non-denominational,James Santiago,,,, not_contacted,
Hope Community Church (Mennonite),31 Lobachsville Rd,Fleetwood,PA,19522,(610) 641-8961,,hopecomm.org,Mennonite (LMC),Gary Blosser,,,, not_contacted,
Rehrersburg Mennonite Church,61 Straustown Rd,Bethel,PA,19507,(717) 933-0151,,,Mennonite,,,,,not_contacted,
Bethel AME Church,119 N 10th St,Reading,PA,19601,,,,,African Methodist Episcopal,,,,,not_contacted,Historic; also home to Central PA African American Museum
Rehoboth Seventh-day Adventist Church,Reading,PA,,,,,rehobothsdachurch.org,Seventh-day Adventist,,,,,not_contacted,
First Unitarian Universalist Church of Berks County,416 Franklin St,Reading,PA,19602,,,uuberks.org,Unitarian Universalist,,,,,not_contacted,
Christ Episcopal Church,435 Court St,Reading,PA,19601,(610) 374-8269,,rdgchristchurch.org,Episcopal,,,,,not_contacted,Historic landmark
Chabad Lubavitch of Berks County,2330 Hampden Blvd,Reading,PA,19604,(610) 921-0881,,chabadofberks.org,Orthodox Jewish,,,,,not_contacted,
